time,language,instance_num,heuristic
0.00563812255859375,C++,13,0
0.003262042999267578,C++,13,1
0.05726003646850586,Java,13,0
0.058712005615234375,Java,13,1
0.05164194107055664,JavaScript,13,0
0.04643702507019043,JavaScript,13,1
0.024464845657348633,Python,13,0
0.021650075912475586,Python,13,1
0.0027649402618408203,Rust,13,0
0.0027921199798583984,Rust,13,1
0.0033478736877441406,C++,14,0
0.0031070709228515625,C++,14,1
0.05183076858520508,Java,14,0
0.05282402038574219,Java,14,1
0.047363996505737305,JavaScript,14,0
0.04742574691772461,JavaScript,14,1
0.02342391014099121,Python,14,0
0.022308826446533203,Python,14,1
0.0030372142791748047,Rust,14,0
0.0028939247131347656,Rust,14,1
0.0038411617279052734,C++,15,0
0.003258943557739258,C++,15,1
0.07236194610595703,Java,15,0
0.06348109245300293,Java,15,1
0.0507810115814209,JavaScript,15,0
0.049195051193237305,JavaScript,15,1
0.022406816482543945,Python,15,0
0.021605253219604492,Python,15,1
0.0027141571044921875,Rust,15,0
0.002215147018432617,Rust,15,1
0.0027298927307128906,C++,16,0
0.0025489330291748047,C++,16,1
0.05521106719970703,Java,16,0
0.059741973876953125,Java,16,1
0.05048012733459473,JavaScript,16,0
0.04783892631530762,JavaScript,16,1
0.02342700958251953,Python,16,0
0.021529197692871094,Python,16,1
0.0029828548431396484,Rust,16,0
0.0028090476989746094,Rust,16,1
0.003637075424194336,C++,17,0
0.003228902816772461,C++,17,1
0.05878615379333496,Java,17,0
0.07496428489685059,Java,17,1
0.05431008338928223,JavaScript,17,0
0.04895424842834473,JavaScript,17,1
0.02284717559814453,Python,17,0
0.020753145217895508,Python,17,1
0.0025038719177246094,Rust,17,0
0.002672910690307617,Rust,17,1
0.0036468505859375,C++,18,0
0.003229379653930664,C++,18,1
0.06951284408569336,Java,18,0
0.05807375907897949,Java,18,1
0.0481870174407959,JavaScript,18,0
0.04597783088684082,JavaScript,18,1
0.024285078048706055,Python,18,0
0.021064281463623047,Python,18,1
0.0026121139526367188,Rust,18,0
0.002277851104736328,Rust,18,1
0.0029549598693847656,C++,19,0
0.0026140213012695312,C++,19,1
0.05171513557434082,Java,19,0
0.05240225791931152,Java,19,1
0.04640507698059082,JavaScript,19,0
0.04682803153991699,JavaScript,19,1
0.022469043731689453,Python,19,0
0.02100992202758789,Python,19,1
0.0029821395874023438,Rust,19,0
0.0031731128692626953,Rust,19,1
0.0029990673065185547,C++,20,0
0.0028929710388183594,C++,20,1
0.054335832595825195,Java,20,0
0.05363607406616211,Java,20,1
0.04778885841369629,JavaScript,20,0
0.045944929122924805,JavaScript,20,1
0.021935224533081055,Python,20,0
0.02041912078857422,Python,20,1
0.00284576416015625,Rust,20,0
0.0028526782989501953,Rust,20,1
0.0029439926147460938,C++,21,0
0.003032684326171875,C++,21,1
0.05610513687133789,Java,21,0
0.05641293525695801,Java,21,1
0.04681205749511719,JavaScript,21,0
0.04677391052246094,JavaScript,21,1
